temp,fatalities
284.85714285714283,161.0
284.875,158.0
284.8888888888889,723.0
284.9,1032.0
284.90909090909093,393.0
284.9166666666667,145.0
285.0,3826.0
285.0833333333333,154.0
285.09090909090907,248.0
285.1,1560.0
285.1111111111111,702.0
285.125,477.0
285.1428571428572,23.0
285.1666666666667,120.0
285.1818181818182,231.0
285.2,1207.0
285.22222222222223,708.0
285.25,709.0
285.27272727272725,797.0
285.2857142857143,56.0
285.3,1753.0
285.3333333333333,291.0
285.3636363636364,404.0
285.375,156.0
285.4,623.0
285.4166666666667,27.0
285.42857142857144,190.0
285.44444444444446,517.0
285.45454545454544,364.0
285.5,1459.0
285.54545454545456,1658.0
285.55555555555554,1060.0
285.57142857142856,133.0
285.5833333333333,364.0
285.6,595.0
285.625,269.0
285.6363636363636,660.0
285.6666666666667,699.0
285.7,2624.0
285.7142857142857,40.0
285.72727272727275,1406.0
285.75,206.0
285.77777777777777,534.0
285.8,957.0
285.8181818181818,712.0
285.8333333333333,107.0
285.85714285714283,34.0
285.875,174.0
285.8888888888889,291.0
285.9,643.0
285.90909090909093,1394.0
285.9166666666667,103.0
286.0,4300.0
286.0833333333333,108.0
286.09090909090907,469.0
286.1,715.0
286.1111111111111,722.0
286.125,525.0
286.1428571428572,43.0
286.1666666666667,302.0
286.1818181818182,701.0
286.2,3369.0
286.22222222222223,786.0
286.25,473.0
286.27272727272725,158.0
286.2857142857143,119.0
286.3,3351.0
286.3333333333333,946.0
286.3636363636364,1081.0
286.375,752.0
286.4,1170.0
286.42857142857144,573.0
286.44444444444446,784.0
286.45454545454544,603.0
286.5,1741.0
286.54545454545456,269.0
286.55555555555554,3704.0
286.57142857142856,180.0
286.5833333333333,3484.0
286.6,1076.0
286.625,366.0
286.6363636363636,370.0
286.6666666666667,364.0
286.7,884.0
286.7142857142857,315.0
286.72727272727275,264.0
286.75,237.0
286.77777777777777,202.0
286.8,1483.0
286.8181818181818,515.0
286.8333333333333,33.0
286.85714285714283,62.0
286.875,267.0
286.8888888888889,603.0
286.9,449.0
286.90909090909093,1781.0
286.9166666666667,104.0
287.0,2356.0
287.0833333333333,225.0
287.09090909090907,525.0
287.1,1204.0
287.1111111111111,1390.0
287.125,537.0
287.1428571428572,58.0
287.1666666666667,52.0
287.1818181818182,586.0
287.2,2639.0
287.22222222222223,1419.0
287.25,430.0
287.27272727272725,1405.0
287.2857142857143,80.0
287.3,4001.0
287.3333333333333,1190.0
287.3636363636364,186.0
287.375,261.0
287.4,528.0
287.4166666666667,300.0
287.42857142857144,92.0
287.44444444444446,549.0
287.45454545454544,438.0
287.5,1954.0
287.54545454545456,360.0
287.55555555555554,628.0
287.57142857142856,126.0
287.5833333333333,117.0
287.6,703.0
287.625,2024.0
287.6363636363636,170.0
287.6666666666667,1090.0
287.7,733.0
287.7142857142857,55.0
287.72727272727275,505.0
287.75,397.0
287.77777777777777,495.0
287.8,2360.0
287.8181818181818,163.0
287.8333333333333,21.0
287.85714285714283,29.0
287.875,433.0
287.8888888888889,536.0
287.9,514.0
287.90909090909093,444.0
287.9166666666667,405.0
288.0,5417.0
288.0833333333333,16.0
288.09090909090907,933.0
288.1,562.0
288.1111111111111,304.0
288.125,445.0
288.1428571428572,95.0
288.1666666666667,281.0
288.1818181818182,477.0
288.2,1259.0
288.22222222222223,313.0
288.25,312.0
288.27272727272725,572.0
288.2857142857143,159.0
288.3,892.0
288.3333333333333,1282.0
288.3636363636364,533.0
288.375,551.0
288.4,861.0
288.4166666666667,222.0
288.42857142857144,222.0
288.44444444444446,385.0
288.45454545454544,797.0
288.5,9544.0
288.54545454545456,118.0
288.55555555555554,1011.0
288.57142857142856,52.0
288.5833333333333,501.0
288.6,921.0
288.625,383.0
288.6363636363636,508.0
288.6666666666667,1199.0
288.7,829.0
288.7142857142857,279.0
288.72727272727275,568.0
288.75,473.0
288.77777777777777,895.0
288.8,432.0
288.8181818181818,846.0
288.8333333333333,229.0
288.85714285714283,244.0
288.875,385.0
288.8888888888889,2243.0
288.9,1376.0
288.90909090909093,803.0
288.9166666666667,384.0
289.0,12065.0
289.0833333333333,42.0
289.09090909090907,1036.0
289.1,1323.0
289.1111111111111,1349.0
289.125,189.0
289.1428571428572,456.0
289.1666666666667,205.0
289.1818181818182,17604.0
289.2,852.0
289.22222222222223,547.0
289.25,540.0
289.27272727272725,494.0
289.2857142857143,131.0
289.3,965.0
289.3333333333333,1136.0
289.3636363636364,854.0
289.375,497.0
289.4,1918.0
289.4166666666667,416.0
289.42857142857144,100.0
289.44444444444446,745.0
289.45454545454544,1165.0
289.5,5533.0
289.54545454545456,810.0
289.55555555555554,623.0
289.57142857142856,60.0
289.6,3117.0
289.625,864.0
289.6363636363636,660.0
289.6666666666667,1232.0
289.7,4541.0
289.7142857142857,199.0
289.72727272727275,1595.0
289.75,2049.0
289.77777777777777,5343.0
289.8,2552.0
289.8181818181818,512.0
289.8333333333333,80.0
289.85714285714283,412.0
289.875,611.0
289.8888888888889,6206.0
289.9,536.0
289.90909090909093,594.0
289.9166666666667,822.0
290.0,53240.0
290.0833333333333,49.0
290.09090909090907,2063.0
290.1,946.0
290.1111111111111,692.0
290.125,346.0
290.1428571428572,151.0
290.1666666666667,703.0
290.1818181818182,858.0
290.2,698.0
290.22222222222223,592.0
290.25,681.0
290.27272727272725,1457.0
290.2857142857143,103.0
290.3,2176.0
290.3333333333333,1807.0
290.3636363636364,391.0
290.375,359.0
290.4,600.0
290.4166666666667,21.0
290.42857142857144,286.0
290.44444444444446,914.0
290.45454545454544,477.0
290.5,117917.0
290.54545454545456,916.0
290.55555555555554,991.0
290.57142857142856,271.0
290.5833333333333,4541.0
290.6,19215.0
290.625,552.0
290.6363636363636,1068.0
290.6666666666667,1441.0
290.7,1719.0
290.7142857142857,376.0
290.72727272727275,2565.0
290.75,33990.0
290.77777777777777,1238.0
290.8,2452.0
290.8181818181818,2330.0
290.8333333333333,225.0
290.85714285714283,578.0
290.875,10469.0
290.8888888888889,1439.0
290.9,1200.0
290.90909090909093,828.0
290.9166666666667,57.0
291.0,40137.0
291.0833333333333,721.0
291.09090909090907,1098.0
291.1,912.0
291.1111111111111,779.0
291.125,548.0
291.1428571428572,227.0
291.1666666666667,1302.0
291.1818181818182,1812.0
291.2,49891.0
291.22222222222223,1102.0
291.25,1537.0
291.27272727272725,1839.0
291.2857142857143,413.0
291.3,3479.0
291.3333333333333,5214.0
291.3636363636364,2328.0
291.375,2086.0
291.4,1529.0
291.4166666666667,209.0
291.42857142857144,2317.0
291.44444444444446,1335.0
291.45454545454544,1056.0
291.5,60765.0
291.54545454545456,2985.0
291.55555555555554,1776.0
291.57142857142856,478.0
291.5833333333333,475.0
291.6,1417.0
291.625,606.0
291.6363636363636,643.0
291.6666666666667,5867.0
291.7,2464.0
291.7142857142857,394.0
291.72727272727275,3670.0
291.75,1989.0
291.77777777777777,738.0
291.8,1441.0
291.8181818181818,3890.0
291.8333333333333,9226.0
291.85714285714283,137.0
291.875,794.0
291.8888888888889,1530.0
291.9,2368.0
291.90909090909093,888.0
291.9166666666667,535.0
292.0,48277.0
292.0833333333333,187.0
292.09090909090907,850.0
292.1,2350.0
292.1111111111111,1814.0
292.125,471.0
292.1428571428572,239.0
292.1666666666667,931.0
292.1818181818182,2126.0
292.2,4139.0
292.22222222222223,980.0
292.25,1916.0
292.27272727272725,4226.0
292.2857142857143,378.0
292.3,2341.0
292.3333333333333,3129.0
292.3636363636364,618.0
292.375,786.0
292.4,3758.0
292.4166666666667,2962.0
292.42857142857144,364.0
292.44444444444446,1353.0
292.45454545454544,549.0
292.5,22218.0
292.54545454545456,946.0
292.55555555555554,1461.0
292.57142857142856,375.0
292.5833333333333,168.0
292.6,5138.0
292.625,408.0
292.6363636363636,750.0
292.6666666666667,1992.0
292.7,1569.0
292.7142857142857,363.0
292.72727272727275,2821.0
292.75,2440.0
292.77777777777777,1791.0
292.8,4106.0
292.8181818181818,1395.0
292.8333333333333,715.0
292.85714285714283,101.0
292.875,1065.0
292.8888888888889,1149.0
292.9,2535.0
292.90909090909093,1095.0
292.9166666666667,315.0
293.0,171851.0
293.0833333333333,23.0
293.09090909090907,395.0
293.1,1825.0
293.1111111111111,1285.0
293.125,1123.0
293.1428571428572,1880.0
293.1666666666667,375.0
293.1818181818182,2534.0
293.2,1085.0
293.22222222222223,2216.0
293.25,2211.0
293.27272727272725,981.0
293.2857142857143,607.0
293.3,904.0
293.3333333333333,20177.0
293.3636363636364,589.0
293.375,437.0
293.4,1634.0
293.4166666666667,390.0
293.42857142857144,889.0
293.44444444444446,964.0
293.45454545454544,5127.0
293.5,51224.0
293.54545454545456,675.0
293.55555555555554,1935.0
293.57142857142856,255.0
293.5833333333333,217.0
293.6,2558.0
293.625,990.0
293.6363636363636,1071.0
293.6666666666667,3273.0
293.7,1604.0
293.7142857142857,701.0
293.72727272727275,876.0
293.75,2418.0
293.77777777777777,1010.0
293.8,1488.0
293.8181818181818,3728.0
293.8333333333333,1289.0
293.85714285714283,462.0
293.875,1491.0
293.8888888888889,1236.0
293.9,1341.0
293.90909090909093,834.0
293.9166666666667,115.0
294.0,126176.0
294.0833333333333,687.0
294.09090909090907,561.0
294.1,1112.0
294.1111111111111,2121.0
294.125,601.0
294.1428571428572,520.0
294.1666666666667,5411.0
294.1818181818182,1843.0
294.2,3270.0
294.22222222222223,4215.0
294.25,1742.0
294.27272727272725,673.0
294.2857142857143,473.0
294.3,2483.0
294.3333333333333,2467.0
294.3636363636364,1081.0
294.375,812.0
294.4,3537.0
294.4166666666667,624.0
294.42857142857144,757.0
294.44444444444446,1123.0
294.45454545454544,1260.0
294.5,41670.0
294.54545454545456,931.0
294.55555555555554,1431.0
294.57142857142856,524.0
294.5833333333333,590.0
294.6,6755.0
294.625,1150.0
294.6363636363636,654.0
294.6666666666667,2307.0
294.7,2324.0
294.7142857142857,166.0
294.72727272727275,555.0
294.75,543.0
294.77777777777777,4339.0
294.8,1422.0
294.8181818181818,455.0
294.8333333333333,613.0
294.85714285714283,385.0
294.875,1217.0
294.8888888888889,1092.0
294.9,1759.0
294.90909090909093,1126.0
294.9166666666667,335.0
295.0,17239.0
295.0833333333333,57.0
295.09090909090907,993.0
295.1,777.0
295.1111111111111,1901.0
295.125,442.0
295.1428571428572,436.0
295.1666666666667,1242.0
295.1818181818182,282.0
295.2,2699.0
295.22222222222223,831.0
295.25,3386.0
295.27272727272725,855.0
295.2857142857143,547.0
295.3,1638.0
295.3333333333333,2025.0
295.3636363636364,457.0
295.375,648.0
295.4,1435.0
295.4166666666667,19.0
295.42857142857144,361.0
295.44444444444446,2400.0
295.45454545454544,582.0
295.5,10625.0
