rh,fatalities
26.363636363636363,4.0
26.366666666666664,133.0
26.366666666666667,3.0
26.37,0.0
26.37272727272727,97.0
26.372727272727275,41.0
26.380000000000003,12.0
26.38181818181818,11.0
26.381818181818183,53.0
26.383333333333336,187.0
26.39090909090909,2.0
26.391666666666666,53.0
26.4,12.0
26.40909090909091,6.0
26.418181818181814,2.0
26.41818181818182,10.0
26.42,18.0
26.422222222222224,8.0
26.42727272727273,40.0
26.43,1.0
26.433333333333334,20.0
26.436363636363637,1.0
26.43636363636364,53.0
26.44,45.0
26.444444444444443,0.0
26.44545454545454,31.0
26.445454545454545,6.0
26.45,1.0
26.454545454545453,17.0
26.45833333333333,2.0
26.463636363636365,3.0
26.466666666666665,1.0
26.46666666666667,192.0
26.472727272727276,27.0
26.475,169.0
26.477777777777774,6.0
26.48181818181818,92.0
26.481818181818184,4.0
26.49,6.0
26.5,101.0
26.505454545454548,8.0
26.509090909090908,10.0
26.51818181818182,4.0
26.525,8.0
26.53333333333333,1.0
26.54,11.0
26.545454545454547,13.0
26.55454545454545,47.0
26.55454545454546,4.0
26.56,29.0
26.563636363636363,4.0
26.566666666666663,50.0
26.57,13.0
26.572727272727278,43.0
26.58,4.0
26.581818181818186,38.0
26.59,10.0
26.59090909090909,13.0
26.6,137.0
